k2id,jmag,jmag_er,hmag,hmag_er,kmag,kamg_er,vmag,plx,plx_er,bprp,ruwe,gof_al,d,mass,mass_er,teff,teff_er
210899260,7.531,0.009,7.197,0.009,7.121,0.007,8.85,19.967,0.018,0.9090738,1.0492755,1.3907179,10.6178665,1.0175,0.0011,5347.0,76.0
210666330,7.524,0.017,7.149,0.017,7.055,0.023,8.97,22.006,0.017,0.9833555,0.9210177,-2.2236497,4.9601808,0.9946,0.0036,5193.0,78.0
246794704,7.86,0.007,7.505,0.015,7.373,0.003,9.35,19.993,0.018,1.0282259,0.98594046,-0.36378288,9.531305,0.9701,0.002,5141.0,75.0
211049709,7.84,0.015,7.441,0.017,7.323,0.003,9.43,21.101,0.017,1.0837736,0.9663456,-0.69975287,4.0968237,0.9317,0.002,5025.0,77.0
210674406,8.154,0.007,7.636,0.017,7.524,0.011,9.92,21.497,0.015,1.2481861,1.0220522,0.6856125,8.156504,0.838,0.0037,4832.0,75.0
210772796,8.206,0.011,7.709,0.019,7.6,0.013,10.05,20.952,0.019,1.2687778,1.2336773,7.120686,22.11067,0.8313,0.0044,4750.0,76.0
210359769,8.181,0.013,7.692,0.019,7.574,0.015,10.02,21.777,0.016,1.2863073,1.2162788,5.535112,14.396245,0.8111,0.0056,4755.0,76.0
211058178,8.106,0.015,7.54,0.009,7.395,0.013,10.25,24.576,0.017,1.3940506,1.1464577,4.140791,13.136834,0.6973,0.0019,4458.0,76.0
247134293,8.375,0.021,7.885,0.023,7.742,0.013,10.31,19.717,0.016,1.271184,0.95179313,-1.3822256,5.7140126,0.8279,0.0044,4657.0,78.0
210551925,8.224,0.017,7.689,0.015,7.515,0.015,10.7,21.818,0.021,1.3727016,1.2348258,6.30861,16.86887,0.8303,0.005,4175.0,76.0
248045685,8.43,0.007,7.877,0.017,7.717,0.023,10.64,21.079,0.017,1.4213276,0.9862962,-0.38006535,6.914447,0.699,0.0487,4398.0,75.0
247611242,8.69,0.035,8.134,0.021,7.995,0.029,10.51,18.237,0.016,1.3339214,0.9273865,-2.1358838,6.809484,0.798,0.0107,4775.0,83.0
247369717,8.427,0.015,7.835,0.013,7.686,0.021,10.67,22.87,0.021,1.4889374,1.2177482,5.7127633,32.32544,0.6774,0.0031,4369.0,76.0
246865157,8.485,0.011,7.968,0.011,7.839,0.005,10.89,20.323,0.022,1.3848972,1.0909169,2.3686283,8.744796,0.6927,0.0008,4232.0,76.0
210744818,8.597,0.013,7.994,0.011,7.909,0.017,10.694,20.899,0.022,1.4703646,1.132101,3.0400488,15.869813,0.6734,0.0025,4501.0,76.0
